,ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
956661,A-956687,MapQuest,201.0,2,2019-09-03 16:02:01,2019-09-03 16:46:48,30.420919,-91.187523,,,0.0,Accident on LA-30 Nicholson Dr at Iris St.,924.0,Iris St,R,Baton Rouge,East Baton Rouge,LA,70802-8545,US,US/Central,KBTR,2019-09-03 15:53:00,94.0,94.0,43.0,29.84,10.0,ENE,5.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
2857880,A-2857996,Bing,,1,2020-03-18 16:15:54,2020-03-18 16:30:54,41.35709,-81.90419,41.33235,-81.81561,4.902,Between Lorain Rd/Exit 152 and I-71/US-42/Exit 161 - Earlier accident.,,I-80 E,R,Olmsted Falls,Cuyahoga,OH,44138,US,US/Eastern,KCLE,2020-03-18 15:51:00,51.0,51.0,56.0,29.31,10.0,VAR,6.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
67872,A-67874,MapQuest,201.0,2,2016-10-31 06:46:34,2016-10-31 07:24:00,33.695847,-117.863785,,,0.01,Right hand shoulder blocked due to accident on CA-55 Northbound at MacArthur Blvd.,,CA-55 N,R,Irvine,Orange,CA,92614,US,US/Pacific,KSNA,2016-10-31 06:53:00,57.9,,90.0,30.04,10.0,SSW,3.5,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
181500,A-181502,MapQuest,406.0,3,2016-12-25 01:22:48,2016-12-25 01:52:15,42.378181,-83.062767,,,0.01,Entry ramp closed due to accident on I-75 Southbound at Clay St.,,Chrysler Expy S,R,Detroit,Wayne,MI,48211,US,US/Eastern,KDET,2016-12-25 00:53:00,34.0,31.0,89.0,30.45,10.0,NNE,3.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
3292758,A-3292918,Bing,,2,2018-07-02 14:35:28,2018-07-02 20:35:28,39.17322,-77.2454,39.17589,-77.24726,0.21,At Middlebrook Rd/Exit 13 - Accident. Right lane blocked. Hard shoulder blocked.,,Dwight D Eisenhower Hwy N,R,Germantown,Montgomery,MD,20876,US,US/Eastern,KGAI,2018-07-02 14:56:00,98.1,,42.0,30.12,10.0,SW,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1438489,A-1438520,MapQuest,201.0,2,2018-11-30 17:43:40,2018-11-30 18:13:22,30.688782,-88.050636,,,0.0,Accident on Dauphin St at Spring Hill Ave.,662.0,Dauphin St,R,Mobile,Mobile,AL,36602-1710,US,US/Central,KBFM,2018-11-30 17:53:00,64.9,,90.0,29.95,10.0,SE,4.6,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
416016,A-416022,MapQuest,201.0,3,2017-04-04 08:06:09,2017-04-04 08:50:44,41.823723,-87.630302,,,0.01,Accident on Dan Ryan Expy Eastbound at Exits 55A 55B I-90 Dan Ryan Expy.,,W Pershing Rd,R,Chicago,Cook,IL,60609,US,US/Central,KMDW,2017-04-04 07:53:00,46.9,,90.0,29.62,10.0,West,9.2,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
1183534,A-1183562,MapQuest,241.0,3,2019-05-22 14:57:19,2019-05-22 16:28:04,30.354105,-81.55323,,,0.0,Lane blocked due to accident on I-295 Southbound at Exits 45 46 FL-113 Southside Connector Blvd.,,Southside Connector S,R,Jacksonville,Duval,FL,32277,US,US/Eastern,KCRG,2019-05-22 14:53:00,86.0,86.0,55.0,30.08,10.0,ESE,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
723323,A-723346,MapQuest,201.0,2,2020-02-19 07:45:16,2020-02-19 09:02:01,41.894852,-87.765373,,,0.0,Accident on Chicago Ave at Central Ave.,5599.0,W Chicago Ave,L,Chicago,Cook,IL,60651-2727,US,US/Central,KMDW,2020-02-19 07:53:00,19.0,8.0,47.0,29.92,10.0,NNW,9.0,0.0,Fair,False,False,False,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
1725271,A-1725305,MapQuest,201.0,2,2018-08-21 08:38:21,2018-08-21 09:08:08,28.039946,-82.451218,,,0.0,Accident on US-41 Nebraska Ave at Linebaugh Ave.,10001.0,N Nebraska Ave,R,Tampa,Hillsborough,FL,33612-8035,US,US/Eastern,KVDF,2018-08-21 08:35:00,75.2,,94.0,30.14,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
